equation,equation_en
$ \mathsf { S } \mathbb { P } \setminus Z $,\mathsf open brace S close brace \mathbb open brace P close brace \setminus Z
"$ \Delta V = V ( i , x ) - V_i $",\Delta V equals V open parenthesis i comma x close parenthesis minus V subscript i
$ x = V_ { \bullet k } $,x equals V subscript open brace \bullet k close brace
$ - ( \rho-1 ) ^2 $,minus open parenthesis \rho minus 1 close parenthesis to the power of 2
$ \xi_1\approx\frac { \xi } { \alpha } $,\xi subscript 1 \approxfrac open brace \xi close brace open brace \alpha close brace
"$ [ \gamma ] \leq [ \alpha ] , [ \beta ] $",open bracket \gamma close bracket \leq open bracket \alpha close bracket comma open bracket \beta close bracket
$ { \mathcal { K } _r } =100 $,open brace \mathcal open brace K close brace subscript r close brace equals 100
"$ \XX_p = \ { x_1 , \ldots , x_p\ } $",\XX subscript p equals \ open brace x subscript 1 comma \ldots comma x subscript p \ close brace
"$ \langle I_ { ei } , T_ { ei } \rangle $",\langle I subscript open brace ei close brace comma T subscript open brace ei close brace \rangle
$ } \State // Compute maximum weight matching with $,close brace \State divided by divided by Compute maximum weight matching with
$ R : \R^ { n } \to\R^n $,R colon \R to the power of open brace n close brace \to \R to the power of n
$ f \gtrsim w $,f \gtrsim w
$ \substack { +0.41 \\ -0.37 } $,\substack open brace plus 0 point 41 \ \ minus 0 point 37 close brace
$ \text { Max } _f ( \alpha ) $,\text open brace Max close brace subscript f open parenthesis \alpha close parenthesis
"$ b_ { c , l } = \mathcal { R } _ { \pi } ( z_ { c , l } ) $",b subscript open brace c comma l close brace equals \mathcal open brace R close brace subscript open brace \pi close brace open parenthesis z subscript open brace c comma l close brace close parenthesis
$ L_U\leq7/32 $,L subscript U \leq 7 divided by 32
"$ x { \in } ] x^ * , x^ { * * } [ $",x open brace \in close brace close bracket x to the power of times comma x to the power of open brace times times close brace open bracket
$ \mathcal { E } _R=0 $,\mathcal open brace E close brace subscript R equals 0
"$ \left|a_ { n } \right| ( n \in\ { 4,5,6 , \ldots\ } ) $",\left vertical bar a subscript open brace n close brace \right vertical bar open parenthesis n \in \ open brace 4 comma 5 comma 6 comma \ldots \ close brace close parenthesis
$ V_\eps $,V subscript \eps
$ \Re ( \beta_ { 1 } ( t ) ) $,\Re open parenthesis \beta subscript open brace 1 close brace open parenthesis t close parenthesis close parenthesis
$ p\mid M ; $,p \mid M semicolon
$ \mathbf { 1.003\pm0.016 } $,\mathbf open brace 1 point 003 \pm 0 point 016 close brace
$ \OM ( x^ { \sss { \mathrm { plus } } } ) \ge a $,\OM open parenthesis x to the power of open brace \sss open brace \mathrm open brace plus close brace close brace close brace close parenthesis \ge a
"$ z_t^\ell , h_t^\ell , \vartheta^\ell $",z subscript t to the power of \ell comma h subscript t to the power of \ell comma \vartheta to the power of \ell
$ { \rm I\kern-0.15em P } ( B ) = k_B/B $,open brace \rm I \kern minus 0 point 15em P close brace open parenthesis B close parenthesis equals k subscript B divided by B
$ \ { \mathrm\ { SO ( n+1 ) $,\ open brace \mathrm \ open brace SO open parenthesis n plus 1 close parenthesis
$ \sigma = 2 \cdot 10^ { -3 } $,\sigma equals 2 \cdot 10 to the power of open brace minus 3 close brace
$ \mathcal { W } _ { \beta_E } $,\mathcal open brace W close brace subscript open brace \beta subscript E close brace
$ \ell^D_C $,\ell to the power of D subscript C
$ \VV ( I ) $,\VV open parenthesis I close parenthesis
"$ 20\ , \mu { \rm m } $",20 \ comma \mu open brace \rm m close brace
$ q^ { \sigma } ( y ) : = Q^ { \sigma } ( Y=y ) $,q to the power of open brace \sigma close brace open parenthesis y close parenthesis colon equals Q to the power of open brace \sigma close brace open parenthesis Y equals y close parenthesis
$ h^r_v \in R^ { d ' } $,h to the power of r subscript v \in R to the power of open brace d ' close brace
"$ \tilde \Sigma^i_ { \delta , j_0 } $",\tilde \Sigma to the power of i subscript open brace \delta comma j subscript 0 close brace
"$ \vec { \beta } = ( \beta_1 , \ldots , \beta_n ) $",\vec open brace \beta close brace equals open parenthesis \beta subscript 1 comma \ldots comma \beta subscript n close parenthesis
$ < F_ { \rm 12 } < 15 $,less than F subscript open brace \rm 12 close brace less than 15
$ \lambda_0 > \frac { a+b_1 } { 2 } $,\lambda subscript 0 greater than frac open brace a plus b subscript 1 close brace open brace 2 close brace
"$ \max\ { a^2 , b^2 \ } = b^2 $",\max \ open brace a to the power of 2 comma b to the power of 2 \ close brace equals b to the power of 2
$ 1\leq |\beta| < |\alpha| $,1 \leq vertical bar \beta vertical bar less than vertical bar \alpha vertical bar
"$ \ { \tau_ { 2 } , \tau_ { 2 } \ } $",\ open brace \tau subscript open brace 2 close brace comma \tau subscript open brace 2 close brace \ close brace
$ \lambda= ( cn ! ) ^ { 1/n } $,\lambda equals open parenthesis cn factorial close parenthesis to the power of open brace 1 divided by n close brace
"$ m ' = \calM_A ( \calH ; \eps , \delta , \gamma ) $",m ' equals \calM subscript A open parenthesis \calH semicolon \eps comma \delta comma \gamma close parenthesis
$ \bd^E_i M $,\bd to the power of E subscript i M
"$ \ , \lambda 5007 $",\ comma \lambda 5007
$ \xi_c^t $,\xi subscript c to the power of t
$ \bm { w } = \bm { H } _w ( \bm { \theta } ) \bm { d } $,\bm open brace w close brace equals \bm open brace H close brace subscript w open parenthesis \bm open brace \theta close brace close parenthesis \bm open brace d close brace
$ \mathbf { 89.00 } $,\mathbf open brace 89 point 00 close brace
"$ \sqrt { s } = 13.6 \ , \text { TeV } $",\sqrt open brace s close brace equals 13 point 6 \ comma \text open brace TeV close brace
$ 1 \le i \le w $,1 \le i \le w
$ \iota_1^\alpha ( i ) > \iota_2^\alpha ( j ) $,\iota subscript 1 to the power of \alpha open parenthesis i close parenthesis greater than \iota subscript 2 to the power of \alpha open parenthesis j close parenthesis
$ ( n-1 ) \wmin + 1 $,open parenthesis n minus 1 close parenthesis \wmin plus 1
"$ \vmin ( Q ) \ge c \cdot \min\ { n , k ( Q ) np\ } $",\vmin open parenthesis Q close parenthesis \ge c \cdot \min \ open brace n comma k open parenthesis Q close parenthesis np \ close brace
$ \triangle_ { \pi/2 } \leq 0 $,\triangle subscript open brace \pi divided by 2 close brace \leq 0
$ \epsi > 0 $,\epsi greater than 0
"$ \Delta_ { 1 , \delta , \tau } $",\Delta subscript open brace 1 comma \delta comma \tau close brace
$ \hat\ { Z $,\hat \ open brace Z
"$ p ( \eta , \cdot ) $",p open parenthesis \eta comma \cdot close parenthesis
$ \mathbf H^ { ( p ) } $,\mathbf H to the power of open brace open parenthesis p close parenthesis close brace
"$ ( \cos ( \hat \theta^ * _i ) , \sin ( \hat \theta^ * _i ) ) $",open parenthesis \cos open parenthesis \hat \theta to the power of times subscript i close parenthesis comma \sin open parenthesis \hat \theta to the power of times subscript i close parenthesis close parenthesis
$ 7\lceil\log_2 N ' \rceil+4 $,7 \lceil \log subscript 2 N ' \rceil plus 4
$ \tilde q_n \tilde p_ { n-1 } - \tilde p_n \tilde q_ { n-1 } = ( -1 ) ^n $,\tilde q subscript n \tilde p subscript open brace n minus 1 close brace minus \tilde p subscript n \tilde q subscript open brace n minus 1 close brace equals open parenthesis minus 1 close parenthesis to the power of n
$ \mathcal G_N^ { \vec { t } _N } ( r ) . $,\mathcal G subscript N to the power of open brace \vec open brace t close brace subscript N close brace open parenthesis r close parenthesis point
"$ \mathcal { N } _ { k , J } $",\mathcal open brace N close brace subscript open brace k comma J close brace
$ \cB : X\to X $,\cB colon X \to X
$ s \in N_ { S } $,s \in N subscript open brace S close brace
"$ \lim_ { \tau\to \pm 1 } M ( w , \Phi , \tau ) =\pm\exp ( i\Phi ) $",\lim subscript open brace \tau \to \pm 1 close brace M open parenthesis w comma \Phi comma \tau close parenthesis equals \pm \exp open parenthesis i \Phi close parenthesis
"$ i=0 , \ldots , \tau_2-1 $",i equals 0 comma \ldots comma \tau subscript 2 minus 1
"$ \alpha : ( X , v ) \to ( A , \hat v ) $",\alpha colon open parenthesis X comma v close parenthesis \to open parenthesis A comma \hat v close parenthesis
$ \Delta \cup \ { v\ } $,\Delta \cup \ open brace v \ close brace
$ \mathbf { C } _ { i } ^ { ( n ) } $,\mathbf open brace C close brace subscript open brace i close brace to the power of open brace open parenthesis n close parenthesis close brace
$ D_b=\pi_b ( D ) $,D subscript b equals \pi subscript b open parenthesis D close parenthesis
"$ R_ { g , n } / ( \beta-2 , \gamma ) $",R subscript open brace g comma n close brace divided by open parenthesis \beta minus 2 comma \gamma close parenthesis
$ \ { f \mid f ( \seq { \ell } ) \to r \in \RR \ } $,\ open brace f \mid f open parenthesis \seq open brace \ell close brace close parenthesis \to r \in \RR \ close brace
$ \bar { r } _ { t ' } ( 1 ) $,\bar open brace r close brace subscript open brace t ' close brace open parenthesis 1 close parenthesis
$ \mathbf { E_ { CCT } } $,\mathbf open brace E subscript open brace CCT close brace close brace
$ $ x =2+\sqrt { 7 } \text { or } \quad x=2-\sqrt { 7 } $ $,x equals 2 plus \sqrt open brace 7 close brace \text open brace or close brace \quad x equals 2 minus \sqrt open brace 7 close brace
$ U ' \subset \tilde { M } $,U ' \subset \tilde open brace M close brace
$ z = x - \mathcal { C } t $,z equals x minus \mathcal open brace C close brace t
$ \heart $,\heart
$ |C_i\cap S|=x_i $,vertical bar C subscript i \cap S vertical bar equals x subscript i
$ D^ * ( \al ) /D^ * ( 1 ) $,D to the power of times open parenthesis \al close parenthesis divided by D to the power of times open parenthesis 1 close parenthesis
$ \alpha + 1 - d < 1 $,\alpha plus 1 minus d less than 1
$ 0 < t < \ ! \ ! < 1 $,0 less than t less than \ factorial \ factorial less than 1
$ \mathbf { u } =\mathbf { x } -\mathbf { X } $,\mathbf open brace u close brace equals \mathbf open brace x close brace minus \mathbf open brace X close brace
$ \hat { \nabla } ^2 f ( x ) $,\hat open brace \nabla close brace to the power of 2 f open parenthesis x close parenthesis
$ e^ { i ( \mathbf { q } \cdot \mathbf { r } - \omega t ) } $,e to the power of open brace i open parenthesis \mathbf open brace q close brace \cdot \mathbf open brace r close brace minus \omega t close parenthesis close brace
$ \ { 1 - Z_ { j ; t } Z_ { j ; b } \ } $,\ open brace 1 minus Z subscript open brace j semicolon t close brace Z subscript open brace j semicolon b close brace \ close brace
$ \beta_t = a^ { \sigma^s ( t ) } _ { 11 } $,\beta subscript t equals a to the power of open brace \sigma to the power of s open parenthesis t close parenthesis close brace subscript open brace 11 close brace
$ \beta \in j $,\beta \in j
"$ X_\bullet , Y_\bullet $",X subscript \bullet comma Y subscript \bullet
$ Q_ { b^ { \prime } } ^ { i } $,Q subscript open brace b to the power of open brace \prime close brace close brace to the power of open brace i close brace
$ |z_i-u| < \sqrt { |\delta| } ^ { -1 } $,vertical bar z subscript i minus u vertical bar less than \sqrt open brace vertical bar \delta vertical bar close brace to the power of open brace minus 1 close brace
$ \eta\left ( z_ { \mathcal { S } } ( \cdot ) \right ) $,\eta \left open parenthesis z subscript open brace \mathcal open brace S close brace close brace open parenthesis \cdot close parenthesis \right close parenthesis
$ \bra \TT ( 0 ) \TT ( r ) \ket_n^\alpha $,\bra \TT open parenthesis 0 close parenthesis \TT open parenthesis r close parenthesis \ket subscript n to the power of \alpha
$ j\in I_l $,j \in I subscript l
"$ a_0 , a_1 \in I $",a subscript 0 comma a subscript 1 \in I
$ x \rest a = x \rest \update a b $,x \rest a equals x \rest \update a b
$ ( 1-p ) \mu_ { 1 } \models F_ { 1 } \wedge \neg b $,open parenthesis 1 minus p close parenthesis \mu subscript open brace 1 close brace \models F subscript open brace 1 close brace \wedge \neg b
$ C_ { 3 } = p_ { 2 } - \frac { K_ { \tau } } { 2 } $,C subscript open brace 3 close brace equals p subscript open brace 2 close brace minus frac open brace K subscript open brace \tau close brace close brace open brace 2 close brace
$ E \subseteq \N $,E \subseteq \N
$ \inf_ { Q\in \mathcal { C } } D ( P\|Q\rightsquigarrow \mathcal { C } ) $,\inf subscript open brace Q \in \mathcal open brace C close brace close brace D open parenthesis P \ vertical bar Q \rightsquigarrow \mathcal open brace C close brace close parenthesis
$ p=\frac { 2 } { \sum_ { l=0 } ^j\eta_l\alpha_l } $,p equals frac open brace 2 close brace open brace \sum subscript open brace l equals 0 close brace to the power of j \eta subscript l \alpha subscript l close brace
$ \widetilde { \rho } _1 ( C_1 ) +A_1 = A_1^\perp $,\widetilde open brace \rho close brace subscript 1 open parenthesis C subscript 1 close parenthesis plus A subscript 1 equals A subscript 1 to the power of \perp
$ \rho ( \br ) = \rho^ { \up } ( \br ) - \rho^ { \dn } ( \br ) $,\rho open parenthesis \br close parenthesis equals \rho to the power of open brace \up close brace open parenthesis \br close parenthesis minus \rho to the power of open brace \dn close brace open parenthesis \br close parenthesis
$ { \cal S } ^ { d-1 } : = \ { x \in \RR^d : \|x\|=1\ } $,open brace \cal S close brace to the power of open brace d minus 1 close brace colon equals \ open brace x \in \RR to the power of d colon \ vertical bar x \ vertical bar equals 1 \ close brace
$ { \text e } ^ { -i\Delta H_ { \text D } \tau/\hbar } $,open brace \text e close brace to the power of open brace minus i \Delta H subscript open brace \text D close brace \tau divided by \hbar close brace
$ a ( \mathcal { N } |_ { \gamma } ) $,a open parenthesis \mathcal open brace N close brace vertical bar subscript open brace \gamma close brace close parenthesis
$ d_n=\exp ( o ( n ) ) $,d subscript n equals \exp open parenthesis o open parenthesis n close parenthesis close parenthesis
$ { \bf w } ^ { \top } _a $,open brace \bf w close brace to the power of open brace \top close brace subscript a
"$ \alpha ( M ' , M ) $",\alpha open parenthesis M ' comma M close parenthesis
"$ m_\pi = 300-600\ , $",m subscript \pi equals 300 minus 600 \ comma
$ \chi ( \hat { P } ) $,\chi open parenthesis \hat open brace P close brace close parenthesis
$ da\equiv db\pmod { N } $,da \equiv db \pmod open brace N close brace
$ f : \nabla^K \to \IR $,f colon \nabla to the power of K \to \IR
$ \mathsf { XMod } $,\mathsf open brace XMod close brace
$ \nabla \phi : \Omega \to \reals^d $,\nabla \phi colon \Omega \to \reals to the power of d
$ \defset ( \conf ) \supseteq \defset ( \conf '' ) $,\defset open parenthesis \conf close parenthesis \supseteq \defset open parenthesis \conf '' close parenthesis
$ \frac { 4 } { m } d \log\frac { 2 e m } { d } = \frac { 4 } { x } \log 2 e x $,frac open brace 4 close brace open brace m close brace d \logfrac open brace 2 e m close brace open brace d close brace equals frac open brace 4 close brace open brace x close brace \log 2 e x
$ \eta [ a^2 ] = 0 $,\eta open bracket a to the power of 2 close bracket equals 0
"$ \inner { u_n , D\Pi ( z_n ) v } $",\inner open brace u subscript n comma D \Pi open parenthesis z subscript n close parenthesis v close brace
$ \breve { \mathbf { D } } _ { \Omega } $,\breve open brace \mathbf open brace D close brace close brace subscript open brace \Omega close brace
$ g^ { ( \alpha ) } ( \pi/2 ) =0 $,g to the power of open brace open parenthesis \alpha close parenthesis close brace open parenthesis \pi divided by 2 close parenthesis equals 0
$ T_ { \rm F } =\ef $,T subscript open brace \rm F close brace equals \ef
$ \ES ' _ { j^ * } $,\ES ' subscript open brace j to the power of times close brace
$ \lambda = 0.29 $,\lambda equals 0 point 29
$ l \in D ( x_ { \ell_u } ) $,l \in D open parenthesis x subscript open brace \ell subscript u close brace close parenthesis
$ \mathbf { ESC } $,\mathbf open brace ESC close brace
$ \mathsf { T } : X\rightarrow X $,\mathsf open brace T close brace colon X \rightarrow X
$ B_ { r } ( \xvar ) $,B subscript open brace r close brace open parenthesis \xvar close parenthesis
"$ a , b\in f/ ( \mathsf { FinProb } /Q ) $",a comma b \in f divided by open parenthesis \mathsf open brace FinProb close brace divided by Q close parenthesis
$ 35.0 \pm 2.56 $,35 point 0 \pm 2 point 56
$ 0.01165243 +0.03330491 \imath $,0 point 01165243 plus 0 point 03330491 \imath
$ t/\tau_c=1 $,t divided by \tau subscript c equals 1
$ e^ { -\lambda } \lambda^ { \theta_1 } > 0 $,e to the power of open brace minus \lambda close brace \lambda to the power of open brace \theta subscript 1 close brace greater than 0
$ \text { var } ( f ( X ) ) \approx ( f ' ( E [ X ] ) ) ^2 \text { var } ( X ) $,\text open brace var close brace open parenthesis f open parenthesis X close parenthesis close parenthesis \approx open parenthesis f ' open parenthesis E open bracket X close bracket close parenthesis close parenthesis to the power of 2 \text open brace var close brace open parenthesis X close parenthesis
"$ u \in U_ { n , j } $",u \in U subscript open brace n comma j close brace
"$ x_1 , \hdots , x_ { |\sigma| } $",x subscript 1 comma \hdots comma x subscript open brace vertical bar \sigma vertical bar close brace
$ \mathbb\ { X\subseteq W $,\mathbb \ open brace X \subseteq W
$ L_ { \mathfrak { su } ( 2 ) } $,L subscript open brace \mathfrak open brace su close brace open parenthesis 2 close parenthesis close brace
$ \depth ( v_k ) \leq \dots \leq \depth ( v_1 ) $,\depth open parenthesis v subscript k close parenthesis \leq \dots \leq \depth open parenthesis v subscript 1 close parenthesis
"$ \ { \mathbf { x } _k , \rho_k\ } $",\ open brace \mathbf open brace x close brace subscript k comma \rho subscript k \ close brace
$ \hat { H } _j $,\hat open brace H close brace subscript j
$ \xi \in \mathring { S } $,\xi \in \mathring open brace S close brace
$ z \in \C/\Lambda $,z \in \C divided by \Lambda
$ \pi_h^ { + } $,\pi subscript h to the power of open brace plus close brace
$ s_ { min } \in \mathcal { R } $,s subscript open brace min close brace \in \mathcal open brace R close brace
$ \delta O_i $,\delta O subscript i
$ \mcp_ { G } ^ { ( \ell ) } $,\mcp subscript open brace G close brace to the power of open brace open parenthesis \ell close parenthesis close brace
"$ \mathcal { W } ^ { u , s } ( \mathcal { M } _0 ) $",\mathcal open brace W close brace to the power of open brace u comma s close brace open parenthesis \mathcal open brace M close brace subscript 0 close parenthesis
"$ \Delta_1 , \ldots , \Delta_\delta $",\Delta subscript 1 comma \ldots comma \Delta subscript \delta
$ \mathcal { S } _k^j $,\mathcal open brace S close brace subscript k to the power of j
$ \quant [ \mu_\Start ] $,\quant open bracket \mu subscript \Start close bracket
$ \gamma < \Gamma_ { j+1 } $,\gamma less than \Gamma subscript open brace j plus 1 close brace
$ K_N^ { ++ } =\widetilde { K } _N^+ $,K subscript N to the power of open brace plus plus close brace equals \widetilde open brace K close brace subscript N to the power of plus
$ \eta_I=0.815 \pm 0.01 $,\eta subscript I equals 0 point 815 \pm 0 point 01
$ \overline { u_i } \in M $,\overline open brace u subscript i close brace \in M
$ v\in\mathbb { R } ^n\setminus { 0 } $,v \in \mathbb open brace R close brace to the power of n \setminus open brace 0 close brace
$ \mathbf { s } ^ { W ( 0 ) } =\mathbf { s } ^W $,\mathbf open brace s close brace to the power of open brace W open parenthesis 0 close parenthesis close brace equals \mathbf open brace s close brace to the power of W
$ H_3 \cap H_1 = P $,H subscript 3 \cap H subscript 1 equals P
"$ m ( \epsilon , \delta , K ) $",m open parenthesis \epsilon comma \delta comma K close parenthesis
$ 5190\pm90 $,5190 \pm 90
$ C_ { \alpha } = ( x_i^r \vee x_j^s ) $,C subscript open brace \alpha close brace equals open parenthesis x subscript i to the power of r \vee x subscript j to the power of s close parenthesis
$ u_k < \infty $,u subscript k less than \infty
$ n_i\leq \la \cL_i\ra $,n subscript i \leq \la \cL subscript i \ra
$ f ( e^t ) \to 0 $,f open parenthesis e to the power of t close parenthesis \to 0
$ \pm 0.146 $,\pm 0 point 146
$ x_F\in F^\I $,x subscript F \in F to the power of \I
"$ \int E \ , \ddr Q $",\int E \ comma \ddr Q
$ \overline { u^ { \prime } w^ { \prime } } /u_ { * } ^2 $,\overline open brace u to the power of open brace \prime close brace w to the power of open brace \prime close brace close brace divided by u subscript open brace times close brace to the power of 2
$ \phi_i : \mb { R } ^ { d-i+1 } \to \mb { R } $,\phi subscript i colon \mb open brace R close brace to the power of open brace d minus i plus 1 close brace \to \mb open brace R close brace
"$ g_ { i+1 } ( \delta_ { i+1 } , \cdot ) $",g subscript open brace i plus 1 close brace open parenthesis \delta subscript open brace i plus 1 close brace comma \cdot close parenthesis
$ 2.241\pm 0.013 $,2 point 241 \pm 0 point 013
$ \overline { f } \colon X\to\mathbb { C } $,\overline open brace f close brace \colon X \to \mathbb open brace C close brace
"$ \min_i |x_i - x_ { i-1 } | \geq C_ { \delta , \tau } \epsilon $",\min subscript i vertical bar x subscript i minus x subscript open brace i minus 1 close brace vertical bar \geq C subscript open brace \delta comma \tau close brace \epsilon
"$ z = p_q / p_h \in ( 0,1 ] $",z equals p subscript q divided by p subscript h \in open parenthesis 0 comma 1 close bracket
$ -1.93\pm0.02 $,minus 1 point 93 \pm 0 point 02
"$ \Pcal_e : =\Pcal_e^ { X , Y } $",\Pcal subscript e colon equals \Pcal subscript e to the power of open brace X comma Y close brace
$ \B^\top\B $,\B to the power of \top \B
$ \bP^ { ( x ) } ( W =\ell ) $,\bP to the power of open brace open parenthesis x close parenthesis close brace open parenthesis W equals \ell close parenthesis
"$ \deg \psi_j^ { i , \lambda } $",\deg \psi subscript j to the power of open brace i comma \lambda close brace
$ x^ { ( i-1 ) } \prec x^ { ( i ) } $,x to the power of open brace open parenthesis i minus 1 close parenthesis close brace \prec x to the power of open brace open parenthesis i close parenthesis close brace
"$ t ( n , k ) = [ z^n ] [ u^k ] \mathit { Total } ( z , u ) $",t open parenthesis n comma k close parenthesis equals open bracket z to the power of n close bracket open bracket u to the power of k close bracket \mathit open brace Total close brace open parenthesis z comma u close parenthesis
$ \Delta^ { \rm E } ( x ) $,\Delta to the power of open brace \rm E close brace open parenthesis x close parenthesis
$ 2A/3 \leq m/2 $,2A divided by 3 \leq m divided by 2
"$ \overline { C } _ { 60,15 } ( 4n+2 ) $",\overline open brace C close brace subscript open brace 60 comma 15 close brace open parenthesis 4n plus 2 close parenthesis
$ x^ { \uparrow } $,x to the power of open brace \uparrow close brace
"$ \M^+ ( \tau , \mu , \delta_0 ) $",\M to the power of plus open parenthesis \tau comma \mu comma \delta subscript 0 close parenthesis
$ \bd \tilde K_0 \cap \PP_ { crit } ( \rp ) $,\bd \tilde K subscript 0 \cap \PP subscript open brace crit close brace open parenthesis \rp close parenthesis
$ \hat { D } _e $,\hat open brace D close brace subscript e
$ \mathcal\ B ( F ) $,\mathcal \ B open parenthesis F close parenthesis
$ p_1 = \widetilde { \gamma_1 } ( a ) $,p subscript 1 equals \widetilde open brace \gamma subscript 1 close brace open parenthesis a close parenthesis
"$ ( g , A ) \mapsto ( g^T ) ^ { -1 } Ag^ { -1 } $",open parenthesis g comma A close parenthesis \mapsto open parenthesis g to the power of T close parenthesis to the power of open brace minus 1 close brace Ag to the power of open brace minus 1 close brace
$ d\circ\sigma+\varrho^ * \circ d=0 $,d \circ \sigma plus \varrho to the power of times \circ d equals 0
$ \phi_2/\alpha $,\phi subscript 2 divided by \alpha
$ X = \sigma Z $,X equals \sigma Z
"$ B \sim \Bin ( n , p ) $",B \sim \Bin open parenthesis n comma p close parenthesis
$ 1-2\exp ( -cp_ { max } \delta^2n\varepsilon_ { k } ( x ) ^ { m } ) $,1 minus 2 \exp open parenthesis minus cp subscript open brace max close brace \delta to the power of 2n \varepsilon subscript open brace k close brace open parenthesis x close parenthesis to the power of open brace m close brace close parenthesis
$ 0\leq\nu\leq \frac { \ln 2 } { 2\tilde { \beta } } $,0 \leq \nu \leq frac open brace \ln 2 close brace open brace 2 \tilde open brace \beta close brace close brace
$ ( H_\lambda ) _ { \lambda\in \Lambda } $,open parenthesis H subscript \lambda close parenthesis subscript open brace \lambda \in \Lambda close brace
"$ \forall ( x , y ) \in \mathbb { R } ^2 $",\forall open parenthesis x comma y close parenthesis \in \mathbb open brace R close brace to the power of 2
$ C_0^ { \textsc { TF } } $,C subscript 0 to the power of open brace \textsc open brace TF close brace close brace
$ h_\patch=H $,h subscript \patch equals H
$ f^ { \mu } _ { EM } $,f to the power of open brace \mu close brace subscript open brace EM close brace
"$ \delta i ( x , y ) $",\delta i open parenthesis x comma y close parenthesis
$ \gamma ( G ) \geq \frac { d ( G ) +1 } { 3 } $,\gamma open parenthesis G close parenthesis \geq frac open brace d open parenthesis G close parenthesis plus 1 close brace open brace 3 close brace
$ \omega=e^ { \frac { 2\pi i } { 5 } } $,\omega equals e to the power of open brace frac open brace 2 \pi i close brace open brace 5 close brace close brace
"$ \sigma ( O , \lam ) $",\sigma open parenthesis O comma \lam close parenthesis
$ ( \lambda H ' ) $,open parenthesis \lambda H ' close parenthesis
$ G=\fA_7 $,G equals \fA subscript 7
$ W^ { \mathrm { T } } $,W to the power of open brace \mathrm open brace T close brace close brace
$ \|\bm { a } _1 ( \bm { x } ) \|_ * =\sigma_ { \bm x } $,\ vertical bar \bm open brace a close brace subscript 1 open parenthesis \bm open brace x close brace close parenthesis \ vertical bar subscript times equals \sigma subscript open brace \bm x close brace
$ I_\mu $,I subscript \mu
$ \geq10^8 $,\geq 10 to the power of 8
$ 8.25 ( 78 ) _m ( 44 ) _\mu ( 37 ) _4 ( 37 ) _s $,8 point 25 open parenthesis 78 close parenthesis subscript m open parenthesis 44 close parenthesis subscript \mu open parenthesis 37 close parenthesis subscript 4 open parenthesis 37 close parenthesis subscript s
"$ \lambda^ { ( 1 ) } = ( 1^n ) , $",\lambda to the power of open brace open parenthesis 1 close parenthesis close brace equals open parenthesis 1 to the power of n close parenthesis comma
"$ B_ { \rm eq } \sim 4\ , \mu $",B subscript open brace \rm eq close brace \sim 4 \ comma \mu
$ B_ { R+\ell^ { \alpha } } $,B subscript open brace R plus \ell to the power of open brace \alpha close brace close brace
$ \wp ( g ; t ) = \bra { g } \rho ( t ) \ket { g } $,\wp open parenthesis g semicolon t close parenthesis equals \bra open brace g close brace \rho open parenthesis t close parenthesis \ket open brace g close brace
$ \left\langle { \bf { o } } _ { \bf { s } } ^ { \bf { t } } \right\rangle $,\left \langle open brace \bf open brace o close brace close brace subscript open brace \bf open brace s close brace close brace to the power of open brace \bf open brace t close brace close brace \right \rangle
"$ \ { 0,4,8 , ... \ } $",\ open brace 0 comma 4 comma 8 comma point point point \ close brace
$ B\rightarrow \psi ( 2S ) V $,B \rightarrow \psi open parenthesis 2S close parenthesis V
$ \partial\beta_1 $,\partial \beta subscript 1
$ \|A * B - 1\|_ { k } \geq \Omega ( 1 ) $,\ vertical bar A times B minus 1 \ vertical bar subscript open brace k close brace \geq \Omega open parenthesis 1 close parenthesis
$ \sigma ( dx ) : =\frac1 { 2\pi } ( 4-x^2 ) _+^ { 1/2 } dx $,\sigma open parenthesis dx close parenthesis colon equals frac1 open brace 2 \pi close brace open parenthesis 4 minus x to the power of 2 close parenthesis subscript plus to the power of open brace 1 divided by 2 close brace dx
$ \bCom $,\bCom
$ \gamma \neq 0. $,\gamma \neq 0 point
$ \mathcal { D } _ { tr } \cap\mathcal { D } _ { te } =\emptyset $,\mathcal open brace D close brace subscript open brace tr close brace \cap \mathcal open brace D close brace subscript open brace te close brace equals \emptyset
$ F \approx ( 8 \pi Y_\text { eff } /9 R^2 ) \delta^3 $,F \approx open parenthesis 8 \pi Y subscript \text open brace eff close brace divided by 9 R to the power of 2 close parenthesis \delta to the power of 3
$ \bigcup_ { i\in I } B_i $,\bigcup subscript open brace i \in I close brace B subscript i
$ \nu = \cos^2 \theta $,\nu equals \cos to the power of 2 \theta
$ 664\pm25.0 $,664 \pm 25 point 0
$ \lVert Z W^n \rVert_ { \square } \rightarrow 0 $,\lVert Z W to the power of n \rVert subscript open brace \square close brace \rightarrow 0
$ \tilde { \Theta } ( k\sqrt { n } ) $,\tilde open brace \Theta close brace open parenthesis k \sqrt open brace n close brace close parenthesis
$ \mu_t = \delta_ { \gamma_t } $,\mu subscript t equals \delta subscript open brace \gamma subscript t close brace
"$ \hH_ { L , 1 } $",\hH subscript open brace L comma 1 close brace
$ \mathcal { F } ( \psi ) $,\mathcal open brace F close brace open parenthesis \psi close parenthesis
$ \tilde { \Delta } ( t ) $,\tilde open brace \Delta close brace open parenthesis t close parenthesis
