context_before,equation,context_after,eq_type,paper_number,paper_type,equation_len,equation_en,complete,rouge_scores,rouge_2,context_quality
can inherently provide a representation,$ f_\sigma ( y^ { l_t } ) $,close to the seen representation,0,2308.12038,arxiv2023,27, f subscript sigma open parenthesis y to the power of open brace l subscript t close brace close parenthesis ,1,"{'rouge1': Score(precision=0.2631578947368421, recall=1.0, fmeasure=0.4166666666666667), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2631578947368421, recall=1.0, fmeasure=0.4166666666666667)}",0.0,Bad
V,$ consisting of generalized eigenvectors of $,T,0,Linear Algebra Done Right,textbook,45, consisting of generalized eigenvectors of ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
,$ \omega^ { \alpha } =a^ { \alpha } =0 $,", but they have non-vanishing expansion",0,2303.17516,arxiv2023,40, omega to the power of open brace alpha close brace equals a to the power of open brace alpha close brace equals 0 ,1,"{'rouge1': Score(precision=0.21739130434782608, recall=1.0, fmeasure=0.3571428571428571), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.21739130434782608, recall=1.0, fmeasure=0.3571428571428571)}",0.0,Bad
G,"$ given the SFC , $",V,0,2308.022,arxiv2023,19, given the SFC comma ,1,"{'rouge1': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rougeL': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571)}",0.8,Good
For the patterns,$ M_ { \mu \mu } =0 $,",",0,2312.0715,arxiv2023,21, M subscript open brace mu mu close brace equals 0 ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.1111111111111111, recall=0.3333333333333333, fmeasure=0.16666666666666666), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.16666666666666666,Bad
where,$ C : =\bar\mu ( V_a ) =\log\frac { a+1 } { a } $,.,0,2312.13988,arxiv2023,49, C colon equals overline mu open parenthesis V subscript a close parenthesis equals logarithm of frac open brace a plus 1 close brace open brace a close brace ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473)}",0.0,Bad
,"$ f_ { A,3-i } $",is not a natural face of,0,2311.01094,arxiv2023,16, f subscript open brace A comma 3 minus i close brace ,1,"{'rouge1': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333)}",0.0,Bad
,"$ { { \rm { X } } _ { : ,i } } $",is the,0,2309.01865,arxiv2023,32, open brace open brace roman open brace X close brace close brace subscript open brace colon comma i close brace close brace ,1,"{'rouge1': Score(precision=0.09090909090909091, recall=0.6666666666666666, fmeasure=0.16), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.6666666666666666, fmeasure=0.16)}",0.0,Bad
with very small measure such that,$ $ \mu ( B_n^2 ) < ( 2+10^ { -12 } ) \mu ( B_n ) . $ $,This is known to be impossible by the measure expansion gap for semisimple Lie group developed by the first two authors in~,1,2304.09619,arxiv2023,55,  mu open parenthesis B subscript n to the power of 2 close parenthesis less than open parenthesis 2 plus 10 to the power of open brace minus 12 close brace close parenthesis mu open parenthesis B subscript n close parenthesis point  ,1,"{'rouge1': Score(precision=0.24390243902439024, recall=1.0, fmeasure=0.39215686274509803), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.24390243902439024, recall=1.0, fmeasure=0.39215686274509803)}",0.0,Bad
,$ f ( y_k ) =f ( \xi_2 ) $,", and , for each",0,2301.00237,arxiv2023,26, f open parenthesis y subscript k close parenthesis equals f open parenthesis xi subscript 2 close parenthesis ,1,"{'rouge1': Score(precision=0.35294117647058826, recall=1.0, fmeasure=0.5217391304347826), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.35294117647058826, recall=1.0, fmeasure=0.5217391304347826)}",0.0,Bad
& Median & Mean &,$ Q_ { 0.75 } $,&,0,2301.03087,arxiv2023,15, Q subscript open brace 0 point 75 close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
,$ \sim 900 - 1450 $,,0,2303.11882,arxiv2023,19, similar to 900 minus 1450 ,1,"{'rouge1': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5)}",0.0,Bad
or,$ \chi^ { \sigma } =\chi^ { \nu^k } $,for some positive integer,0,2309.05796,arxiv2023,37, chi to the power of open brace sigma close brace equals chi to the power of open brace nu to the power of k close brace ,1,"{'rouge1': Score(precision=0.19230769230769232, recall=1.0, fmeasure=0.32258064516129037), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.19230769230769232, recall=1.0, fmeasure=0.32258064516129037)}",0.0,Bad
we denote,$ \omega ( x_0 ) $,the,0,2301.0969,arxiv2023,18, omega open parenthesis x subscript 0 close parenthesis ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
,$ 17^ { +3 } _ { -3 } $,,0,2306.05295,arxiv2023,23, 17 to the power of open brace plus 3 close brace subscript open brace minus 3 close brace ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857)}",0.0,Bad
is a solution to the instance,"$ ( A , z , k ) $",of,0,2309.13698,arxiv2023,17, open parenthesis A comma z comma k close parenthesis ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
there exists some,$ m^ * _k\in [ c ] $,such that by flipping,0,2312.16087,arxiv2023,20, m to the power of times subscript k in open bracket c close bracket ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.07692307692307693, recall=0.3333333333333333, fmeasure=0.125), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.125,Bad
for some,"$ v \in [ v_+ , 1 ) $",. We make some further remarks about the statement of Theorem,0,2306.13806,arxiv2023,21, v in open bracket v subscript plus comma 1 close parenthesis ,1,"{'rouge1': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333), 'rouge2': Score(precision=0.1, recall=0.3333333333333333, fmeasure=0.15384615384615383), 'rougeL': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333)}",0.15384615384615383,Bad
we have that both,$ \partial D_t^i $,are MCF evolutions starting at,0,2305.17272,arxiv2023,18, partial D subscript t to the power of i ,1,"{'rouge1': Score(precision=0.4444444444444444, recall=1.0, fmeasure=0.6153846153846153), 'rouge2': Score(precision=0.125, recall=0.3333333333333333, fmeasure=0.18181818181818182), 'rougeL': Score(precision=0.4444444444444444, recall=1.0, fmeasure=0.6153846153846153)}",0.18181818181818182,Bad
for the predicates in,$ \Lambda_M^\beta $,to count intersections connected by the binary relation,0,2307.00831,arxiv2023,19, Lambda subscript M to the power of beta ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
&,$ 0.7450 $,&,0,2303.10961,arxiv2023,10, 0 point 7450 ,1,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}",0.0,Bad
Note that higher,"$ k^P_ { \rm max,0 } $",values than those shown in,0,2312.02511,arxiv2023,22, k to the power of P subscript open brace roman max comma 0 close brace ,1,"{'rouge1': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4)}",0.0,Bad
Let,$ F^k \in \mathbb { R } $,be the output of the,0,2301.11324,arxiv2023,25, F to the power of k in blackboard bold font open brace R close brace ,1,"{'rouge1': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4), 'rouge2': Score(precision=0.07142857142857142, recall=0.25, fmeasure=0.11111111111111112), 'rougeL': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4)}",0.11111111111111112,Bad
,$ This of course satisfies the condition $,,0,2311.1634,arxiv2023,42, This of course satisfies the condition ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
& RSD &,$ 0.779^ { +0.036 } _ { -0.034 } $,&,0,2303.04793,arxiv2023,34, 0 point 779 to the power of open brace plus 0 point 036 close brace subscript open brace minus 0 point 034 close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
&,$ 0.032^ { +0.002 } _ { -0.002 } $,&,0,2302.00181,arxiv2023,34, 0 point 032 to the power of open brace plus 0 point 002 close brace subscript open brace minus 0 point 002 close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
is given by,$ Ax ( t ) \in { \bf R } ^ { m } $,", and the amount of goods consumed is",0,Convex Optimization,textbook,34, Ax open parenthesis t close parenthesis in open brace bold R close brace to the power of open brace m close brace ,1,"{'rouge1': Score(precision=0.22727272727272727, recall=0.8333333333333334, fmeasure=0.35714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.22727272727272727, recall=0.8333333333333334, fmeasure=0.35714285714285715)}",0.0,Bad
and all radii were rescaled by,$ ( 6/5 ) ^ { 1/3 } $,to empirically account for the different size of,0,2309.01929,arxiv2023,21, open parenthesis 6 divided by 5 close parenthesis to the power of open brace 1 divided by 3 close brace ,1,"{'rouge1': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337)}",0.0,Bad
we assume that,"$ ( \tau , \mu_ { \tau } ) : = ( 0 , \mu^0 ) $",for some,0,2304.11945,arxiv2023,46, open parenthesis tau comma mu subscript open brace tau close brace close parenthesis colon equals open parenthesis 0 comma mu to the power of 0 close parenthesis ,1,"{'rouge1': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636)}",0.0,Bad
The color bars show the fluxes in units of,"$ 10^ { -16 } \ , erg\ , s^ { -1 } \ , cm^ { -2 } $",". The central column , displays the LOS centroid velocity fields for each component . The color bars show the velocities , in km",0,2310.15842,arxiv2023,51, 10 to the power of open brace minus 16 close brace comma erg comma s to the power of open brace minus 1 close brace comma cm to the power of open brace minus 2 close brace ,1,"{'rouge1': Score(precision=0.1891891891891892, recall=1.0, fmeasure=0.3181818181818182), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1891891891891892, recall=1.0, fmeasure=0.3181818181818182)}",0.0,Bad
under,"$ H_ { 1 , loc } ( k ) $",", we have",0,2306.14004,arxiv2023,24, H subscript open brace 1 comma loc close brace open parenthesis k close parenthesis ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
should pass near,"$ c_ { j,1 } $",and,0,2304.14643,arxiv2023,14, c subscript open brace j comma 1 close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
&,$ +0.000+0.000 i $,&,0,2307.07431,arxiv2023,18, plus 0 point 000 plus 0 point 000 i ,1,"{'rouge1': Score(precision=0.5555555555555556, recall=1.0, fmeasure=0.7142857142857143), 'rouge2': Score(precision=0.125, recall=0.25, fmeasure=0.16666666666666666), 'rougeL': Score(precision=0.5555555555555556, recall=1.0, fmeasure=0.7142857142857143)}",0.16666666666666666,Bad
the cross section,$ \bar { \sigma } ^ { J_\tau } $,from narrow atoms is given by the Breit-Wigner function~,0,2305.00171,arxiv2023,32, overline open brace sigma close brace to the power of open brace J subscript tau close brace ,1,"{'rouge1': Score(precision=0.17647058823529413, recall=0.75, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.17647058823529413, recall=0.75, fmeasure=0.2857142857142857)}",0.0,Bad
,"$ , the prismatic package $",,0,2310.1277,arxiv2023,27, comma the prismatic package ,1,"{'rouge1': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rougeL': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571)}",0.8,Good
then,"$ h_ { 2,0,6 } $","represents a reflected channel incident to the 2nd RE of IRS 1 and the 6th RE of IRS 3 , which is not related to any RE of IRS 2",0,2302.09717,arxiv2023,16, h subscript open brace 2 comma 0 comma 6 close brace ,1,"{'rouge1': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.36363636363636365, recall=1.0, fmeasure=0.5333333333333333)}",0.0,Bad
density matrices ;,"$ c = ( u , n_1 , n_2 ) \in \mathbb { R } ^3 $",; the function,0,2308.06119,arxiv2023,46, c equals open parenthesis u comma n subscript 1 comma n subscript 2 close parenthesis in blackboard bold font open brace R close brace to the power of 3 ,1,"{'rouge1': Score(precision=0.3103448275862069, recall=0.9, fmeasure=0.4615384615384615), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3103448275862069, recall=0.9, fmeasure=0.4615384615384615)}",0.0,Bad
we make use of a BRST doublet of external sources,"$ ( Q^a , R^a ) $",", of dimension four and ghost number",0,2310.06146,arxiv2023,17, open parenthesis Q to the power of a comma R to the power of a close parenthesis ,1,"{'rouge1': Score(precision=0.23529411764705882, recall=1.0, fmeasure=0.38095238095238093), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23529411764705882, recall=1.0, fmeasure=0.38095238095238093)}",0.0,Bad
Now for,$ 1\leq |u|\leq X^ { A } $,the claim follows from~,0,2304.05344,arxiv2023,26, 1 less than or equal to vertical bar u vertical bar less than or equal to X to the power of open brace A close brace ,1,"{'rouge1': Score(precision=0.15384615384615385, recall=0.6666666666666666, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.6666666666666666, fmeasure=0.25)}",0.0,Bad
%,$ . % In atomic units we have $,,0,2304.10807,arxiv2023,31, point percent In atomic units we have ,1,"{'rouge1': Score(precision=0.7142857142857143, recall=1.0, fmeasure=0.8333333333333333), 'rouge2': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rougeL': Score(precision=0.7142857142857143, recall=1.0, fmeasure=0.8333333333333333)}",0.8,Good
we have,"$ W ( E/K_ { i } , O_f ) _ { z_i } $",is outside,0,2306.0562,arxiv2023,36, W open parenthesis E divided by K subscript open brace i close brace comma O subscript f close parenthesis subscript open brace z subscript i close brace ,1,"{'rouge1': Score(precision=0.2962962962962963, recall=1.0, fmeasure=0.45714285714285713), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2962962962962963, recall=1.0, fmeasure=0.45714285714285713)}",0.0,Bad
where,"$ \Delta V = V ( i , x ) - V_i $",",",0,2307.0022,arxiv2023,32, Delta V equals V open parenthesis i comma x close parenthesis minus V subscript i ,1,"{'rouge1': Score(precision=0.4666666666666667, recall=1.0, fmeasure=0.6363636363636364), 'rouge2': Score(precision=0.07142857142857142, recall=0.16666666666666666, fmeasure=0.1), 'rougeL': Score(precision=0.4666666666666667, recall=1.0, fmeasure=0.6363636363636364)}",0.1,Bad
An example is,$ - ( \rho-1 ) ^2 $,", which corresponds to the function",0,2305.05284,arxiv2023,19, minus open parenthesis rho minus 1 close parenthesis to the power of 2 ,1,"{'rouge1': Score(precision=0.23076923076923078, recall=1.0, fmeasure=0.375), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23076923076923078, recall=1.0, fmeasure=0.375)}",0.0,Bad
,$ \xi_1\approx\frac { \xi } { \alpha } $,y de forma semejante,0,2305.19305,arxiv2023,40, xi subscript 1 approximately equal to frac open brace xi close brace open brace alpha close brace ,1,"{'rouge1': Score(precision=0.29411764705882354, recall=0.8333333333333334, fmeasure=0.4347826086956522), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.29411764705882354, recall=0.8333333333333334, fmeasure=0.4347826086956522)}",0.0,Bad
; then take,"$ [ \gamma ] \leq [ \alpha ] , [ \beta ] $",", i.e.",0,2310.08374,arxiv2023,42, open bracket gamma close bracket less than or equal to open bracket alpha close bracket comma open bracket beta close bracket ,1,"{'rouge1': Score(precision=0.14285714285714285, recall=0.75, fmeasure=0.24), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.75, fmeasure=0.24)}",0.0,Bad
But we can take,$ f_1 ( x=2 ) $,as the definition for the sum,0,2301.00821,arxiv2023,15, f subscript 1 open parenthesis x equals 2 close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
We can also see that the asymptotic results of the black and purple curves do not exist in the cast of,$ { \mathcal { K } _r } =100 $,", which is due to the fact that the Taylor expansion does not exist when the number of RIS elements or fading parameters are too high . This also verifies",0,2305.09328,arxiv2023,30, open brace calligraphic font open brace K close brace subscript r close brace equals 100 ,1,"{'rouge1': Score(precision=0.2, recall=0.75, fmeasure=0.31578947368421056), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.75, fmeasure=0.31578947368421056)}",0.0,Bad
if,$ v_k > v'_k $,for some,0,2307.15586,arxiv2023,14, v subscript k greater than v' subscript k ,1,"{'rouge1': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666)}",0.0,Bad
the following pair of equations for,"$ A ( z , u , q ) $",and,0,2308.15782,arxiv2023,19, A open parenthesis z comma u comma q close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
In the brackets of the right-hand-side of the above equation we have : a contribution,$ -n_ { d } ^ { x } n_ { B } ^ { x+1 } $,", when",0,2312.15532,arxiv2023,40, minus n subscript open brace d close brace to the power of open brace x close brace n subscript open brace B close brace to the power of open brace x plus 1 close brace ,1,"{'rouge1': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337)}",0.0,Bad
traverses both valencies,"$ e^1 , e^2 $",and,0,2303.00827,arxiv2023,13, e to the power of 1 comma e to the power of 2 ,1,"{'rouge1': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764)}",0.0,Bad
to obtain the final representation,"$ b_ { c , l } = \mathcal { R } _ { \pi } ( z_ { c , l } ) $",", where",0,2306.14638,arxiv2023,60, b subscript open brace c comma l close brace equals calligraphic font open brace R close brace subscript open brace pi close brace open parenthesis z subscript open brace c comma l close brace close parenthesis ,1,"{'rouge1': Score(precision=0.2222222222222222, recall=0.8888888888888888, fmeasure=0.3555555555555555), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2222222222222222, recall=0.8888888888888888, fmeasure=0.3555555555555555)}",0.0,Bad
globally as long as,$ L_U\leq7/32 $,. Then it holds for the first exit time from,0,2308.04634,arxiv2023,15, L subscript U less than or equal to 7 divided by 32 ,1,"{'rouge1': Score(precision=0.25, recall=0.75, fmeasure=0.375), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.75, fmeasure=0.375)}",0.0,Bad
for all,"$ x { \in } ] x^ * , x^ { * * } [ $",", and",0,2311.06652,arxiv2023,35, x open brace in close brace close bracket x to the power of times comma x to the power of open brace times times close brace open bracket ,1,"{'rouge1': Score(precision=0.14285714285714285, recall=1.0, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=1.0, fmeasure=0.25)}",0.0,Bad
and,$ \mathcal { E } _R=0 $,"for our choice of placing the defect at an odd site . Here ,",0,2312.03054,arxiv2023,23, calligraphic font open brace E close brace subscript R equals 0 ,1,"{'rouge1': Score(precision=0.2727272727272727, recall=0.75, fmeasure=0.39999999999999997), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2727272727272727, recall=0.75, fmeasure=0.39999999999999997)}",0.0,Bad
G_i,$ denote the kernel of the homomorphism $,F,0,2312.04996,arxiv2023,41, denote the kernel of the homomorphism ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
we compare the growth using,$ \sigma = 2 \cdot 10^ { -3 } $,and,0,2309.07889,arxiv2023,31, sigma equals 2 times 10 to the power of open brace minus 3 close brace ,1,"{'rouge1': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.26666666666666666, recall=0.8, fmeasure=0.4)}",0.0,Bad
The full data for an individual are,"$ ( X , C , Y_1 , Y_0 ) $",", and the observed data are",0,2312.11136,arxiv2023,25, open parenthesis X comma C comma Y subscript 1 comma Y subscript 0 close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
,$ \mathcal { W } _ { \beta_E } $,and,0,2305.16422,arxiv2023,32, calligraphic font open brace W close brace subscript open brace beta subscript E close brace ,1,"{'rouge1': Score(precision=0.2, recall=0.75, fmeasure=0.31578947368421056), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.75, fmeasure=0.31578947368421056)}",0.0,Bad
with the characteristic radius up to about,"$ 20\ , \mu { \rm m } $","inside the 2D electron system , as reported in Ref.~",0,2308.06876,arxiv2023,23, 20 comma mu open brace roman m close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156)}",0.0,Bad
and,$ q^ { \sigma } ( y ) : = Q^ { \sigma } ( Y=y ) $,. The semi-metric,0,2312.07282,arxiv2023,49, q to the power of open brace sigma close brace open parenthesis y close parenthesis colon equals Q to the power of open brace sigma close brace open parenthesis Y equals y close parenthesis ,1,"{'rouge1': Score(precision=0.20588235294117646, recall=1.0, fmeasure=0.34146341463414637), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.20588235294117646, recall=1.0, fmeasure=0.34146341463414637)}",0.0,Bad
% where,$ h^r_v \in R^ { d ' } $,is a representation vector corresponding relation,0,2311.07929,arxiv2023,24, h to the power of r subscript v in R to the power of open brace d ' close brace ,1,"{'rouge1': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999), 'rouge2': Score(precision=0.1111111111111111, recall=0.4, fmeasure=0.1739130434782609), 'rougeL': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999)}",0.1739130434782609,Bad
Jy,$ < F_ { \rm 12 } < 15 $,,0,2310.13489,arxiv2023,24, less than F subscript open brace roman 12 close brace less than 15 ,1,"{'rouge1': Score(precision=0.23076923076923078, recall=0.75, fmeasure=0.3529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23076923076923078, recall=0.75, fmeasure=0.3529411764705882)}",0.0,Bad
If,$ \lambda_0 > \frac { a+b_1 } { 2 } $,", by continuity , we have",0,2310.02089,arxiv2023,37, lambda subscript 0 greater than frac open brace a plus b subscript 1 close brace open brace 2 close brace ,1,"{'rouge1': Score(precision=0.35, recall=1.0, fmeasure=0.5185185185185185), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.35, recall=1.0, fmeasure=0.5185185185185185)}",0.0,Bad
